################################################################################
## This is the redshift list for BAT-detected GRBs.
## Columns are:
## GRBname: GRB name
## z: GRB redshift
## Method: The mothod for how the redshift is determined:
##         "ba": spectroscopic measurement from absorption lines;
##         "he": spectroscopic measurement from host galaxy;
##         "bp": photometric redshift;
##         "hp": photometric redshift from host galaxy.
## Uncertainty (mostly for photo-z): The uncertainty for the photometric redshift;
##                                   the numbers quoted directly from the reference,
##                                   and might refer to different confidence ranges.
## Ref.: References of the GRB redshift measurements.
##       If there are more than one references presented,
##       The reference marked with "*" is the one related
##        to the value presented in this table.
################################################################################
## GRBname | z | Method | Uncertainty (when available; mostly for photo-z) | Ref.
GRB141220A  |     1.32      | ba |     N/A     |     "de Ugarte Postigo et al. GCN Circ. 17198 (GTC)"    
GRB141212A  |    0.596(?)    | he |    N/A    |    "Chornock et al. GCN Circ. 17177 (Gemini-N)"   
GRB141121A  |     1.47      | ba |     N/A     |     "Perley et al. GCN Circ. 17081 (Keck)"   
GRB141109A  |     2.993     | ba |     N/A     |     "Xu et al. GCN Circ. 17040 (VLT/X-shooter)"    
GRB141026A  |     3.35(?)    | ba |    N/A    |    "de Ugarte Postigo et al. GCN Circ. 16968 (GTC)"   
GRB141004A  |     0.573    | he |     N/A     |    "de Ugarte Postigo et al. GCN Circ. 16902 (GTC)"   
GRB140907A  |    1.21    | ba |     N/A     |     "Castro-Tirado  et al. GCN Circ. 16797 (GTC)"    
GRB140903A  |    0.351    | he |   +0.001 -0.001    |    "Cucchiara et al. GCN Circ. 16774 (Gemini-North); *Troja et al. ApJL 822 L8 (2016)"   
GRB140710A  |    0.558    | he |     N/A     |    "Tanvir N.R. et al. GCN Circ. 16570"   
GRB140703A  |    3.14    | ba |     N/A     |    "Castro-Tirado A.J. et al. GCN Circ. 16505"   
GRB140629A  |    2.275    | ba |     N/A     |    "*Moskvitin A. et al. GCN Circ. 16489; D'Avanzo P. et al. GCN Circ. 16493"   
GRB140622A  |    0.959    | he |     N/A     |    "Hartoog O.E. et al. GCN Circ. 16437"   
GRB140614A  |    4.233    | ba |     N/A     |    "Kruehler T. et al. GCN Circ. 16401"   
GRB140518A  |    4.707    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 16301"   
